Track 392 processed, number of points: 77
Track 393 processed, number of points: 33
Track 394 processed, number of points: 127
Track 395 processed, number of points: 97
Track 396 processed, number of points: 157
Track 397 processed, number of points: 160
Track 398 processed, number of points: 156
Track 399 processed, number of points: 78
Track 400 processed, number of points: 150
Track 401 processed, number of points: 69
Track 402 processed, number of points: 25
Track 403 processed, number of points: 50
Track 404 processed, number of points: 181
Track 405 processed, number of points: 78
Track 406 processed, number of points: 70
Track 407 processed, number of points: 205
Track 408 processed, number of points: 139
Track 409 processed, number of points: 105
Track 410 processed, number of points: 124
Track 411 processed, number of points: 55
Track 412 processed, number of points: 101
Track 413 processed, number of points: 48
Track 414 processed, number of points: 47
Track 415 processed, number of points: 16
Track 416 processed, number of points: 99
Track 417 processed, number of points: 43
Track 418 processed, number of points: 187
Track 419 processed, number of points: 79
Track 420 processed, number of points: 160
Track 421 processed, number of points: 97
Track 422 processed, number of points: 144
Track 423 processed, number of points: 48
Track 424 processed, number of points: 36
Track 425 processed, number of points: 114
Track 426 processed, number of points: 108
Track 427 processed, number of points: 298
Track 428 processed, number of points: 31
Track 429 processed, number of points: 66
Track 430 processed, number of points: 16
Track 431 processed, number of points: 56
Track 432 processed, number of points: 211
Track 433 processed, number of points: 192
Track 434 processed, number of points: 168
Track 435 processed, number of points: 74
Track 436 processed, number of points: 96
Track 437 processed, number of points: 127
Track 438 processed, number of points: 32
Track 439 processed, number of points: 68
Track 440 processed, number of points: 17
Track 441 processed, number of points: 24
Track 442 processed, number of points: 57
Track 443 processed, number of points: 33
Track 444 processed, number of points: 67
Track 445 processed, number of points: 50
Track 446 processed, number of points: 69
Track 447 processed, number of points: 198
Track 448 processed, number of points: 290
Track 449 processed, number of points: 71
Track 450 processed, number of points: 200
Track 451 processed, number of points: 137
Track 452 processed, number of points: 27
Track 453 processed, number of points: 72
Track 454 processed, number of points: 79
Track 455 processed, number of points: 19
Track 456 processed, number of points: 34
Track 457 processed, number of points: 245
Track 458 processed, number of points: 64
Track 459 processed, number of points: 140
Track 460 processed, number of points: 89
Track 461 processed, number of points: 43
Track 462 processed, number of points: 54
Track 463 processed, number of points: 32
Track 464 processed, number of points: 24
Track 465 processed, number of points: 212
Track 466 processed, number of points: 41
Track 467 processed, number of points: 152
Track 468 processed, number of points: 190
Track 469 processed, number of points: 73
Track 470 processed, number of points: 29
Track 471 processed, number of points: 20
Track 472 processed, number of points: 202
Track 473 processed, number of points: 63
Track 474 processed, number of points: 289
Track 475 processed, number of points: 88
Track 476 processed, number of points: 73
Track 477 processed, number of points: 41
Track 478 processed, number of points: 45
Track 479 processed, number of points: 118
Track 480 processed, number of points: 230
Track 481 processed, number of points: 104
Track 482 processed, number of points: 84
Track 483 processed, number of points: 39
Track 484 processed, number of points: 71
Track 485 processed, number of points: 182
Track 486 processed, number of points: 40
Track 487 processed, number of points: 292
Track 488 processed, number of points: 56
Track 489 processed, number of points: 170
Track 490 processed, number of points: 143
Track 491 processed, number of points: 144
Track 492 processed, number of points: 73
Track 493 processed, number of points: 67
Track 494 processed, number of points: 85
Track 495 processed, number of points: 148
Track 496 processed, number of points: 148
Track 497 processed, number of points: 73
Track 498 processed, number of points: 83
Track 499 processed, number of points: 49
Track 500 processed, number of points: 44
Track 501 processed, number of points: 169
Track 502 processed, number of points: 61
Track 503 processed, number of points: 139
Track 504 processed, number of points: 160
Track 505 processed, number of points: 152
Track 506 processed, number of points: 68
Track 507 processed, number of points: 184
Track 508 processed, number of points: 189
Track 509 processed, number of points: 57
Track 510 processed, number of points: 60
Track 511 processed, number of points: 109
Track 512 processed, number of points: 50
Track 513 processed, number of points: 54
Track 514 processed, number of points: 109
Track 515 processed, number of points: 44
Track 516 processed, number of points: 95
Track 517 processed, number of points: 162
Track 518 processed, number of points: 69
Track 519 processed, number of points: 80
Track 520 processed, number of points: 46
Track 521 processed, number of points: 69
Track 522 processed, number of points: 79
Track 523 processed, number of points: 156
Track 524 processed, number of points: 32
Track 525 processed, number of points: 14
Track 526 processed, number of points: 202
Track 527 processed, number of points: 82
Track 528 processed, number of points: 211
Track 529 processed, number of points: 34
Track 530 processed, number of points: 121
Track 531 processed, number of points: 175
Track 532 processed, number of points: 39
Track 533 processed, number of points: 89
Track 534 processed, number of points: 45
Track 535 processed, number of points: 56
Track 536 processed, number of points: 147
Track 537 processed, number of points: 195
Track 538 processed, number of points: 169
Track 539 processed, number of points: 132
Track 540 processed, number of points: 63
Track 541 processed, number of points: 136
Track 542 processed, number of points: 69
Track 543 processed, number of points: 118
Track 544 processed, number of points: 129
Track 545 processed, number of points: 100
Track 546 processed, number of points: 78
Track 547 processed, number of points: 86
Track 548 processed, number of points: 51
Track 549 processed, number of points: 99
Track 550 processed, number of points: 107
Track 551 processed, number of points: 172
Track 552 processed, number of points: 197
Track 553 processed, number of points: 63
Track 554 processed, number of points: 130
Track 555 processed, number of points: 23
Track 556 processed, number of points: 117
Track 557 processed, number of points: 80
Track 558 processed, number of points: 135
Track 559 processed, number of points: 51
Track 560 processed, number of points: 109
Track 561 processed, number of points: 73
Track 562 processed, number of points: 156
Track 563 processed, number of points: 36
Track 564 processed, number of points: 178
Track 565 processed, number of points: 93
Track 566 processed, number of points: 125
Track 567 processed, number of points: 55
Track 568 processed, number of points: 31
Track 569 processed, number of points: 116
Track 570 processed, number of points: 54
Track 571 processed, number of points: 71
Track 572 processed, number of points: 150
Track 573 processed, number of points: 203
Track 574 processed, number of points: 116
Track 575 processed, number of points: 193
Track 576 processed, number of points: 38
Track 577 processed, number of points: 80
Track 578 processed, number of points: 166
Track 579 processed, number of points: 92
Track 580 processed, number of points: 172
Track 581 processed, number of points: 97
Track 582 processed, number of points: 99
Track 583 processed, number of points: 159
Track 584 processed, number of points: 174
Track 585 processed, number of points: 111
Track 586 processed, number of points: 115
Track 587 processed, number of points: 157
Track 588 processed, number of points: 183
Track 589 processed, number of points: 40
Track 590 processed, number of points: 19
Track 591 processed, number of points: 129
Track 592 processed, number of points: 57
Track 593 processed, number of points: 39
Track 594 processed, number of points: 208
Track 595 processed, number of points: 94
Track 596 processed, number of points: 72
Track 597 processed, number of points: 17
Track 598 processed, number of points: 84
Track 599 processed, number of points: 99
Track 600 processed, number of points: 177
Track 601 processed, number of points: 261
Track 602 processed, number of points: 88
Track 603 processed, number of points: 145
Track 604 processed, number of points: 72
Track 605 processed, number of points: 96
Track 606 processed, number of points: 111
Track 607 processed, number of points: 101
Track 608 processed, number of points: 27
Track 609 processed, number of points: 77
Track 610 processed, number of points: 123
Track 611 processed, number of points: 223
Track 612 processed, number of points: 56
Track 613 processed, number of points: 134
Track 614 processed, number of points: 170
Track 615 processed, number of points: 114
Track 616 processed, number of points: 98
Track 617 processed, number of points: 240
Track 618 processed, number of points: 232
Track 619 processed, number of points: 47
Track 620 processed, number of points: 27
Track 621 processed, number of points: 223
Track 622 processed, number of points: 12
Track 623 processed, number of points: 171
Track 624 processed, number of points: 97
Track 625 processed, number of points: 260
Track 626 processed, number of points: 169
Track 627 processed, number of points: 101
Track 628 processed, number of points: 155
Track 629 processed, number of points: 139
Track 630 processed, number of points: 96
Track 631 processed, number of points: 123
Track 632 processed, number of points: 49
Track 633 processed, number of points: 66
Track 634 processed, number of points: 190
Track 635 processed, number of points: 223
Track 636 processed, number of points: 99
Track 637 processed, number of points: 119
Track 638 processed, number of points: 151
Track 639 processed, number of points: 131
Track 640 processed, number of points: 116
Track 641 processed, number of points: 86
Track 642 processed, number of points: 165
Track 643 processed, number of points: 126
Track 644 processed, number of points: 160
Track 645 processed, number of points: 79
Track 646 processed, number of points: 121
Track 647 processed, number of points: 210
Track 648 processed, number of points: 174
Track 649 processed, number of points: 95
Track 650 processed, number of points: 124
Track 651 processed, number of points: 55
Track 652 processed, number of points: 172
Track 653 processed, number of points: 262
Track 654 processed, number of points: 143
Track 655 processed, number of points: 94
Track 656 processed, number of points: 370
Track 657 processed, number of points: 81
Track 658 processed, number of points: 140
Track 659 processed, number of points: 44
Track 660 processed, number of points: 200
Track 661 processed, number of points: 174
Track 662 processed, number of points: 99
Track 663 processed, number of points: 71
Track 664 processed, number of points: 70
Track 665 processed, number of points: 48
Track 666 processed, number of points: 79
Track 667 processed, number of points: 50
Track 668 processed, number of points: 307
Track 669 processed, number of points: 77
Track 670 processed, number of points: 179
Track 671 processed, number of points: 69
Track 672 processed, number of points: 89
Track 673 processed, number of points: 78
Track 674 processed, number of points: 130
Track 675 processed, number of points: 109
Track 676 processed, number of points: 169
Track 677 processed, number of points: 203
Track 678 processed, number of points: 104
Track 679 processed, number of points: 116
Track 680 processed, number of points: 64
Track 681 processed, number of points: 17
Track 682 processed, number of points: 56
Track 683 processed, number of points: 52
Track 684 processed, number of points: 39
Track 685 processed, number of points: 284
Track 686 processed, number of points: 80
Track 687 processed, number of points: 139
Track 688 processed, number of points: 129
Track 689 processed, number of points: 174
Track 690 processed, number of points: 67
Track 691 processed, number of points: 135
Track 692 processed, number of points: 145
Track 693 processed, number of points: 81
Track 694 processed, number of points: 37
Track 695 processed, number of points: 139
Track 696 processed, number of points: 96
Track 697 processed, number of points: 168
Track 698 processed, number of points: 66
Track 699 processed, number of points: 78
Track 700 processed, number of points: 202
Track 701 processed, number of points: 132
Track 702 processed, number of points: 76
Track 703 processed, number of points: 138
Track 704 processed, number of points: 28
Track 705 processed, number of points: 72
Track 706 processed, number of points: 89
Track 707 processed, number of points: 40
Track 708 processed, number of points: 75
Track 709 processed, number of points: 77
Track 710 processed, number of points: 96
Track 711 processed, number of points: 174
Track 712 processed, number of points: 83
Track 713 processed, number of points: 94
Track 714 processed, number of points: 141
Track 715 processed, number of points: 119
Track 716 processed, number of points: 147
Track 717 processed, number of points: 115
Track 718 processed, number of points: 58
Track 719 processed, number of points: 97
Track 720 processed, number of points: 40
Track 721 processed, number of points: 105
Track 722 processed, number of points: 168
Track 723 processed, number of points: 86
Track 724 processed, number of points: 101
Track 725 processed, number of points: 125
Track 726 processed, number of points: 141
Track 727 processed, number of points: 141
Track 728 processed, number of points: 65
Track 729 processed, number of points: 44
Track 730 processed, number of points: 101
Track 731 processed, number of points: 79
Track 732 processed, number of points: 198
Track 733 processed, number of points: 293
Track 734 processed, number of points: 137
Track 735 processed, number of points: 121
Track 736 processed, number of points: 84
Track 737 processed, number of points: 58
